id,country,name_en,name_local,entity_type,tier,focus_areas,seed_source,suggested_local_queries,status,last_verified,notes
cn-pku,China,Peking University,北京大学,university,1,technical_alignment;ai_governance,Papers; Concordia 2025,北京大学 大模型 安全 对齐,seed,2026-05-26,Seed row; verify before publishing.
cn-fudan,China,Fudan University,复旦大学,university,1,technical_alignment;deception;interpretability,Papers; Concordia 2025,复旦 大模型 欺骗 评测 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-cas-ia,China,CAS Institute of Automation,中国科学院自动化研究所,research_group,1,technical_alignment;frontier_ai_safety,CAS; Concordia 2025,中科院自动化所 人工智能安全 超级对齐,seed,2026-05-26,Seed row; verify before publishing.
cn-hkust,China/Hong Kong,Hong Kong University of Science and Technology,香港科技大学,university,1,technical_alignment;research,Papers; Concordia 2025,香港科技大学 大模型 安全 对齐,seed,2026-05-26,Seed row; verify before publishing.
cn-deepseek,China,DeepSeek,深度求索,company,1,frontier_models;open_source_governance,Model cards; Concordia 2025,DeepSeek 安全 评测 开源 大模型,seed,2026-05-26,Seed row; verify before publishing.
cn-alibaba-qwen,China,Alibaba / Qwen,阿里巴巴 / 通义千问,company,1,frontier_models;technical_alignment;open_source_governance,Qwen reports; Concordia 2025,阿里 通义千问 Qwen 大模型 安全 治理,seed,2026-05-26,Seed row; verify before publishing.
cn-zhipu,China,Zhipu AI,智谱AI,company,1,frontier_models;safety_commitments,Model cards; Concordia 2025,智谱 AI 安全 承诺 GLM,seed,2026-05-26,Seed row; verify before publishing.
cn-minimax,China,MiniMax,MiniMax,company,1,frontier_models;safety_commitments,Model cards; Concordia 2025,MiniMax 大模型 安全 评测,seed,2026-05-26,Seed row; verify before publishing.
cn-baidu,China,Baidu / ERNIE,百度 / 文心一言,company,1,frontier_models;content_safety,Baidu reports; Concordia 2025,百度 文心 大模型 内容安全,seed,2026-05-26,Seed row; verify before publishing.
cn-bytedance,China,ByteDance / Doubao,字节跳动 / 豆包,company,1,frontier_models;content_safety,ByteDance reports; Concordia 2025,字节跳动 豆包 大模型 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-tencent,China,Tencent / Hunyuan,腾讯 / 混元,company,1,frontier_models;technical_alignment;open_source_governance,Tencent reports; Concordia 2025,腾讯 混元 大模型 安全 开源治理,seed,2026-05-26,Seed row; verify before publishing.
cn-moonshot,China,Moonshot AI / Kimi,月之暗面 / Kimi,company,1,frontier_models;open_source_governance,Kimi reports; Concordia 2025,月之暗面 Kimi 大模型 安全 开源,seed,2026-05-26,Seed row; verify before publishing.
cn-stepfun,China,StepFun,阶跃星辰,company,2,frontier_models,Model reports; Concordia 2025,阶跃星辰 Step 大模型 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-01ai,China,01.AI,零一万物,company,2,frontier_models;safety_commitments,Model reports; Concordia 2025,零一万物 Yi 大模型 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-realai,China,RealAI,瑞莱智慧,company,2,safety_as_service;red_teaming,Company site; Concordia 2025,瑞莱智慧 大模型 安全 红队,seed,2026-05-26,Seed row; verify before publishing.
bridge-concordia,International/China,Concordia AI,安远AI,dialogue_convenor,1,international_dialogue;frontier_ai_safety,Concordia reports,安远AI 人工智能安全 中国,seed,2026-05-26,Seed row; verify before publishing.
bridge-idais,International,International Dialogues for AI Safety,人工智能安全国际对话,dialogue_convenor,1,international_dialogue;frontier_ai_safety,IDAIS site; Concordia 2025,IDAIS 人工智能安全国际对话,seed,2026-05-26,Seed row; verify before publishing.
bridge-saif,International,Safe AI Forum,Safe AI Forum,dialogue_convenor,2,international_dialogue;frontier_ai_safety,SAIF public materials,Safe AI Forum China AI safety,seed,2026-05-26,Seed row; verify before publishing.
jp-aisi,Japan,Japan AI Safety Institute,AIセーフティ・インスティテュート,ai_safety_institute,1,evaluation;standards;international_dialogue,METI/IPA official,AIセーフティ・インスティテュート 安全性評価,seed,2026-05-26,Seed row; verify before publishing.
jp-ipa,Japan,Information-technology Promotion Agency,情報処理推進機構,evaluation_institution,1,evaluation;standards,IPA official,IPA AIセーフティ 安全性評価,seed,2026-05-26,Seed row; verify before publishing.
jp-meti,Japan,"Ministry of Economy, Trade and Industry",経済産業省,government,1,ai_governance;standards;industry,METI official,経済産業省 AI ガバナンス 生成AI,seed,2026-05-26,Seed row; verify before publishing.
jp-mic,Japan,Ministry of Internal Affairs and Communications,総務省,government,2,ai_governance,MIC official,総務省 AI ガバナンス,seed,2026-05-26,Seed row; verify before publishing.
jp-digital-agency,Japan,Digital Agency,デジタル庁,government,2,digital_governance,Digital Agency official,デジタル庁 AI ガバナンス,seed,2026-05-26,Seed row; verify before publishing.
jp-aist,Japan,National Institute of Advanced Industrial Science and Technology,産業技術総合研究所,research_group,2,evaluation;standards;research,AIST official,産総研 AI 安全性 評価,seed,2026-05-26,Seed row; verify before publishing.
jp-riken,Japan,RIKEN,理化学研究所,research_group,2,research;ai_governance,RIKEN official,理研 AI 安全性,seed,2026-05-26,Seed row; verify before publishing.
kr-aisi,Korea,Korea AI Safety Institute,AI안전연구소,ai_safety_institute,1,evaluation;international_dialogue;standards,MSIT/ETRI official,AI 안전연구소 인공지능 안전성 평가,seed,2026-05-26,Seed row; verify before publishing.
kr-msit,Korea,Ministry of Science and ICT,과학기술정보통신부,government,1,ai_governance;industry;international_dialogue,MSIT official,과기정통부 AI 안전 거버넌스,seed,2026-05-26,Seed row; verify before publishing.
kr-etri,Korea,Electronics and Telecommunications Research Institute,한국전자통신연구원,research_group,1,evaluation;technical_research,ETRI official,ETRI AI 안전연구소,seed,2026-05-26,Seed row; verify before publishing.
kr-kaist,Korea,KAIST,한국과학기술원,university,2,technical_alignment;research,KAIST official,KAIST AI 안전 대형언어모델,seed,2026-05-26,Seed row; verify before publishing.
kr-naver,Korea,Naver,네이버,company,2,frontier_models;responsible_ai,Naver reports,네이버 하이퍼클로바X 안전성,seed,2026-05-26,Seed row; verify before publishing.
kr-samsung,Korea,Samsung,삼성,company,2,ai_governance;frontier_models,Samsung reports,삼성 생성형 AI 안전,seed,2026-05-26,Seed row; verify before publishing.
sg-aisi,Singapore,Singapore AI Safety Institute,Singapore AI Safety Institute,ai_safety_institute,1,evaluation;assurance;international_dialogue,Singapore AISI official,Singapore AI Safety Institute testing red teaming,seed,2026-05-26,Seed row; verify before publishing.
sg-imda,Singapore,Infocomm Media Development Authority,Infocomm Media Development Authority,government,1,ai_governance;assurance,IMDA official,IMDA AI Verify generative AI safety,seed,2026-05-26,Seed row; verify before publishing.
sg-mddi,Singapore,Ministry of Digital Development and Information,Ministry of Digital Development and Information,government,1,ai_governance;international_dialogue,MDDI official,MDDI AI governance Singapore,seed,2026-05-26,Seed row; verify before publishing.
sg-ai-verify,Singapore,AI Verify Foundation,AI Verify Foundation,evaluation_institution,1,assurance;evaluation;testing,AI Verify official,AI Verify Foundation GenAI testing,seed,2026-05-26,Seed row; verify before publishing.
sg-ai-singapore,Singapore,AI Singapore,AI Singapore,research_group,2,research;capacity_building,AI Singapore official,AI Singapore governance safety,seed,2026-05-26,Seed row; verify before publishing.
sg-nus,Singapore,National University of Singapore,National University of Singapore,university,2,technical_alignment;ai_governance,NUS official,NUS AI safety governance,seed,2026-05-26,Seed row; verify before publishing.
asean-secretariat,ASEAN,ASEAN Secretariat,ASEAN Secretariat,government,1,ai_governance;capacity_building,ASEAN official,ASEAN AI Governance Ethics Generative AI,seed,2026-05-26,Seed row; verify before publishing.
asean-digital-ministers,ASEAN,ASEAN Digital Ministers Meeting,ASEAN Digital Ministers Meeting,policy_program,1,ai_governance;capacity_building,ASEAN official,ASEAN Digital Ministers AI governance,seed,2026-05-26,Seed row; verify before publishing.
id-gov-ai,Indonesia,Indonesia AI governance actors,,government,3,ai_governance,National sources needed,kecerdasan buatan tata kelola AI Indonesia,seed,2026-05-26,Seed row; verify before publishing.
vn-gov-ai,Vietnam,Vietnam AI governance actors,,government,3,ai_governance,National sources needed,trí tuệ nhân tạo quản trị AI Việt Nam,seed,2026-05-26,Seed row; verify before publishing.
th-gov-ai,Thailand,Thailand AI governance actors,,government,3,ai_governance,National sources needed,ปัญญาประดิษฐ์ ธรรมาภิบาล AI ประเทศไทย,seed,2026-05-26,Seed row; verify before publishing.
my-gov-ai,Malaysia,Malaysia AI governance actors,,government,3,ai_governance,National sources needed,kecerdasan buatan tadbir urus AI Malaysia,seed,2026-05-26,Seed row; verify before publishing.
us-aisi-nist,United States,US AI Safety Institute / NIST,,ai_safety_institute,1,evaluation;standards;international_dialogue,NIST official,US AISI NIST AI safety institute,seed,2026-05-26,Seed row; verify before publishing.
uk-aisi,United Kingdom,UK AI Security Institute,,ai_safety_institute,1,evaluation;frontier_ai_safety;international_dialogue,UK official,UK AI Security Institute evaluations,seed,2026-05-26,Seed row; verify before publishing.
eu-ai-office,European Union,European AI Office,,government,1,regulation;ai_governance,EU official,European AI Office GPAI Code,seed,2026-05-26,Seed row; verify before publishing.
